Wall time,Step,Value,Step2,Value2,Step3,Value3,StepTot,ValTot
,4820118,1505,,,,,,
,4843280,1511,,,,,,
,4871249,1521,,,,,,
,4895195,1531,,,,,,
,4917706,1539,,,,,,
,4943195,1545,,,,,,
,4971197,1554,,,,,,
,4992412,1561,,,,,,
,5015444,1571,,,,,,
,5036794,1579,,,,,,
