#{"t_start": 1714011599.9969673, "env_id": null}
r,l,t
6200,6638,5.234885
5000,7423,11.24454
4000,5726,15.210767
2000,6565,19.728173
4000,7120,24.761677
13100,9736,31.655149
3300,5238,35.164739
13500,10055,99.224157
2200,5440,137.254412
3200,7992,200.443269
4000,7827,280.591973
4000,7827,295.619956
4000,7827,311.137526
4000,7827,326.541854
4000,7827,343.599515
4000,7827,359.023958
4000,7827,373.655858
4000,7827,389.925068
4000,7827,405.552844
4000,7827,421.267769
