#{"t_start": 1713837986.3272722, "env_id": null}
r,l,t
1100,6277,5.902139
27300,15461,59.505358
27300,15461,110.244476
27300,15461,164.379499
27300,15461,214.579136
27300,15461,263.722227
27300,15461,313.604024
27300,15461,364.377663
27300,15461,414.668929
27300,15461,466.302273
27300,15461,516.774215
