#{"t_start": 1713914885.225416, "env_id": null}
r,l,t
2700,6438,48.90392
2700,6438,94.548012
2700,6438,136.997062
2700,6438,179.714055
2700,6438,225.509832
11300,11415,348.786047
11300,11415,427.380311
11300,11415,507.833977
11300,11415,588.338527
11300,11415,669.750427
